"Serial No.","Dealer Credit Code","newPpi_1(without QC)","newPpi_1(with QC)"
377,0000108479,200,-
378,0000100609,825,-
379,0000283310,-,-
380,0000266241,-,-
381,0000154674,-,-
382,0000100602,2500,-
383,0000103561,100,-
384,0000107911,-,-
385,0000150195,-,-
386,0000441424,-,-
387,0000108176,-,-
388,0000108204,-,-
389,0000106534,-,-
390,0000115408,-,-
391,0000100589,-,-
392,0000109095,-,-
393,0000107885,-,-
394,0000285174,-,-
395,0000195741,-,-
396,0000333556,-,-
397,0000459135,-,-
398,0000441323,-,-
399,0000100551,425,-
400,0000107649,-,-
401,0000109224,-,-
402,0000108442,-,-
403,0000108252,-,-
404,0000100570,-,-
405,0000100532,-,-
406,0000108817,-,-
407,0000107047,-,-
408,0000107126,-,-
409,0000107542,-,-
410,0000280985,-,-
411,0000462590,-,-
412,0000109077,-,-
413,0000100672,825,-
414,0000267231,-,-
415,0000108113,-,-
416,0000100662,-,-
417,0000107637,-,-
418,0000232112,100,-
419,0000318791,200,-
420,0000100628,425,-
421,0000100576,-,-
422,0000100584,-,-
423,0000358967,-,-
424,0000109226,-,-
425,0000149096,-,-
426,0000108889,-,-
427,0000109199,-,-
428,0000108149,-,-
429,0000100654,-,-
430,0000456819,-,-
431,0000107066,-,-
432,0000108595,-,-
433,0000175119,-,-
434,0000100600,-,-
435,0000107991,-,-
436,0000349179,-,-
437,0000178259,-,-
438,0000107362,-,-
439,0000184181,-,-
440,0000108921,-,-
441,0000107446,-,-
442,0000108721,-,-
443,0000153118,-,-
444,0000109131,-,-
445,0000108259,-,-
446,0000107636,-,-
447,0000100656,-,-
448,0000108429,-,-
449,0000333732,-,-
450,0000100583,-,-
451,0000107963,-,-
452,0000100885,-,-
453,0000107034,-,-
454,0000100636,-,-
455,0000335757,-,-
456,0000108710,-,-
457,0000107278,-,-
458,0000107910,-,-
459,0000459538,200,-
460,0000108403,-,-
461,0000293447,825,-
462,0000108665,-,-
463,0000100580,-,-
464,0000108050,-,-
465,0000357898,-,-
466,0000108730,-,-
467,0000100593,-,-
468,0000108951,-,-
469,0000196330,425,-
470,0000327561,-,-
471,0000108709,-,-
472,0000115968,-,-
473,0000214601,-,-
474,0000100780,-,-
475,0000165837,-,-
476,0000103534,-,-
