"Serial No.","Dealer Credit Code","PPI_1(without QC)","PPI_1(with QC)","SLAB_1(without QC)","SLAB_1(with QC)"
469,0000112816,-,-,-,-
470,0000113545,-,-,-,-
471,0000115328,-,-,400,-
472,0000220628,450,-,400,-
473,0000112818,-,-,-,-
474,0000113385,-,-,-,-
475,0000114276,-,-,-,-
476,0000113386,-,-,100,-
477,0000104638,-,-,-,-
478,0000115168,-,-,-,-
479,0000115169,-,-,-,-
480,0000113387,-,-,-,-
481,0000104639,450,-,400,-
482,0000357409,-,-,-,-
483,0000148593,-,-,-,-
484,0000148594,-,-,-,-
485,0000148596,-,-,-,-
486,0000299950,-,-,-,-
487,0000299795,-,-,-,-
488,0000114601,-,-,-,-
489,0000115331,1800,-,400,-
490,0000232214,-,-,-,-
491,0000115170,-,-,100,-
492,0000104640,-,-,-,-
493,0000112821,-,-,-,-
494,0000114442,-,-,-,-
495,0000104641,-,-,-,-
496,0000116224,-,-,-,-
497,0000115171,-,-,-,-
498,0000104642,-,-,-,-
499,0000104804,-,-,-,-
500,0000114282,-,-,100,-
501,0000115173,-,-,-,-
502,0000104643,900,-,400,-
503,0000113553,-,-,-,-
504,0000104805,-,-,-,-
505,0000113554,-,-,-,-
506,0000104644,-,-,-,-
507,0000115337,-,-,-,-
508,0000113555,-,-,-,-
509,0000104645,-,-,-,-
510,0000116228,-,-,-,-
511,0000222257,-,-,-,-
512,0000113394,-,-,-,-
513,0000104646,900,-,200,-
514,0000114447,-,-,200,-
515,0000104647,-,-,-,-
516,0000113719,-,-,-,-
517,0000104648,-,-,-,-
518,0000115178,-,-,-,-
519,0000114287,-,-,100,-
520,0000113397,-,-,-,-
521,0000113559,450,-,400,-
522,0000104649,-,-,-,-
523,0000113399,-,-,-,-
524,0000182782,-,-,-,-
525,0000354746,-,-,-,-
526,0000182783,450,-,200,-
527,0000165856,-,-,-,-
528,0000224202,-,-,-,-
529,0000116230,-,-,-,-
530,0000113720,-,-,-,-
531,0000114612,-,-,-,-
532,0000112830,-,-,-,-
533,0000112831,-,-,-,-
534,0000104650,1800,-,400,-
535,0000113560,-,-,-,-
536,0000116233,-,-,-,-
537,0000113561,-,-,-,-
538,0000112832,-,-,-,-
539,0000161108,-,-,100,-
540,0000104814,-,-,-,-
541,0000161109,-,-,-,-
542,0000104653,-,-,-,-
543,0000116236,-,-,-,-
544,0000113563,450,-,400,-
545,0000116237,-,-,-,-
546,0000112835,-,-,400,-
547,0000104655,-,-,-,-
548,0000104656,-,-,-,-
549,0000116239,-,-,-,-
550,0000300676,-,-,100,-
551,0000259411,-,-,-,-
552,0000104657,-,-,-,-
553,0000104819,-,-,-,-
554,0000104658,-,-,-,-
555,0000113569,-,-,-,-
556,0000104659,-,-,-,-
557,0000455274,-,-,-,-
558,0000347625,-,-,-,-
559,0000291493,-,-,-,-
560,0000349248,-,-,400,-
561,0000229858,-,-,-,-
562,0000350000,-,-,-,-
563,0000161110,-,-,-,-
564,0000104820,-,-,-,-
565,0000113730,-,-,-,-
566,0000116241,-,-,-,-
567,0000205341,-,-,-,-
568,0000113731,1800,-,400,-
569,0000104821,-,-,-,-
570,0000115351,1800,-,400,-
571,0000223162,-,-,-,-
572,0000113570,-,-,-,-
573,0000116243,-,-,-,-
574,0000104660,-,-,-,-
575,0000114623,-,-,-,-
576,0000104661,-,-,-,-
577,0000104823,-,-,-,-
578,0000104824,-,-,-,-
579,0000104662,-,-,-,-
580,0000116246,-,-,-,-
581,0000104825,-,-,-,-
582,0000104663,-,-,-,-
583,0000112844,-,-,-,-
584,0000116247,-,-,-,-
585,0000104664,-,-,-,-
586,0000104826,-,-,-,-
587,0000231348,-,-,-,-
588,0000104665,-,-,-,-
589,0000104827,-,-,-,-
590,0000116248,-,-,400,-
591,0000115358,-,-,-,-
592,0000113738,-,-,-,-
593,0000113576,-,-,-,-
594,0000104828,-,-,-,-
595,0000104666,-,-,400,-
596,0000282911,-,-,-,-
597,0000104667,3600,-,400,-
598,0000104829,1800,-,400,-
599,0000115359,450,-,100,-
600,0000114468,-,-,400,-
601,0000282912,450,-,400,-
602,0000113579,-,-,-,-
603,0000104669,-,-,-,-
